time	 veloc	 accel 
 3.55000 	  2.14792 	  0.56319 	 
 3.56000 	  2.15413 	  0.67720 	 
 3.57000 	  2.16145 	  0.78531 	 
 3.58000 	  2.16982 	  0.88757 	 
 3.59000 	  2.17919 	  0.98627 	 
 3.60000 	  2.18954 	  1.08468 	 
 3.61000 	  2.20089 	  1.18532 	 
 3.62000 	  2.21326 	  1.28851 	 
 3.63000 	  2.22666 	  1.39189 	 
 3.64000 	  2.24108 	  1.49116 	 
 3.65000 	  2.25645 	  1.58174 	 
 3.66000 	  2.27268 	  1.66073 	 
 3.67000 	  2.28963 	  1.72810 	 
 3.68000 	  2.30721 	  1.78669 	 
 3.69000 	  2.32535 	  1.84077 	 
 3.70000 	  2.34402 	  1.89368 	 
 3.71000 	  2.36322 	  1.94555 	 
 3.72000 	  2.38291 	  1.99200 	 
 3.73000 	  2.40301 	  2.02459 	 
 3.74000 	  2.42332 	  2.03296 	 
 3.75000 	  2.44356 	  2.00804 	 
 3.76000 	  2.46336 	  1.94525 	 
 3.77000 	  2.48234 	  1.84655 	 
 3.78000 	  2.50020 	  1.72053 	 
 3.79000 	  2.51671 	  1.58054 	 
 3.80000 	  2.53181 	  1.44135 	 
 3.81000 	  2.54558 	  1.31556 	 
 3.82000 	  2.55819 	  1.21087 	 
 3.83000 	  2.56987 	  1.12892 	 
 3.84000 	  2.58084 	  1.06614 	 
 3.85000 	  2.59124 	  1.01588 	 
 3.86000 	  2.60117 	  0.97115 	 
 3.87000 	  2.61066 	  0.92681 	 
 3.88000 	  2.61970 	  0.88069 	 
 3.89000 	  2.62827 	  0.83339 	 
 3.90000 	  2.63637 	  0.78707 	 
 3.91000 	  2.64402 	  0.74392 	 
 3.92000 	  2.65127 	  0.70502 	 
 3.93000 	  2.65814 	  0.66990 	 
 3.94000 	  2.66467 	  0.63699 	 
 3.95000 	  2.67088 	  0.60446 	 
 3.96000 	  2.67676 	  0.57111 	 
 3.97000 	  2.68230 	  0.53678 	 
 3.98000 	  2.68749 	  0.50222 	 
 3.99000 	  2.69234 	  0.46846 	 
 4.00000 	  2.69687 	  0.43617 	 
 4.01000 	  2.70107 	  0.40519 	 
 4.02000 	  2.70497 	  0.37466 	 
 4.03000 	  2.70856 	  0.34347 	 
 4.04000 	  2.71184 	  0.31089 	 
 4.05000 	  2.71478 	  0.27698 	 
 4.06000 	  2.71737 	  0.24255 	 
 4.07000 	  2.71963 	  0.20862 	 
 4.08000 	  2.72155 	  0.17576 	 
 4.09000 	  2.72315 	  0.14355 	 
 4.10000 	  2.72442 	  0.11055 	 
 4.11000 	  2.72535 	  0.07491 	 
 4.12000 	  2.72590 	  0.03526 	 
 4.13000 	  2.72604 	 -0.00852 	 
 4.14000 	  2.72572 	 -0.05500 	 
 4.15000 	  2.72494 	 -0.10186 	 
 4.16000 	  2.72369 	 -0.14721 	 
 4.17000 	  2.72200 	 -0.19104 	 
 4.18000 	  2.71987 	 -0.23628 	 
 4.19000 	  2.71725 	 -0.28868 	 
 4.20000 	  2.71404 	 -0.35539 	 
 4.21000 	  2.71007 	 -0.44256 	 
 4.22000 	  2.70512 	 -0.55263 	 
 4.23000 	  2.69895 	 -0.68248 	 
 4.24000 	  2.69143 	 -0.82305 	 
 4.25000 	  2.68250 	 -0.96088 	 
 4.26000 	  2.67227 	 -1.08121 	 
 4.27000 	  2.66098 	 -1.17161 	 
 4.28000 	  2.64896 	 -1.22499 	 
 4.29000 	  2.63660 	 -1.24109 	 
 4.30000 	  2.62425 	 -1.22585 	 
 4.31000 	  2.61216 	 -1.18896 	 
 4.32000 	  2.60051 	 -1.14060 	 
 4.33000 	  2.58936 	 -1.08834 	 
 4.34000 	  2.57874 	 -1.03541 	 
 4.35000 	  2.56866 	 -0.98072 	 
 4.36000 	  2.55914 	 -0.92047 	 
 4.37000 	  2.55028 	 -0.85055 	 
 4.38000 	  2.54217 	 -0.76872 	 
 4.39000 	  2.53494 	 -0.67577 	 
 4.40000 	  2.52868 	 -0.57515 	 
 4.41000 	  2.52345 	 -0.47157 	 
 4.42000 	  2.51925 	 -0.36896 	 
 4.43000 	  2.51606 	 -0.26906 	 
 4.44000 	  2.51386 	 -0.17089 	 
 4.45000 	  2.51265 	 -0.07160 	 
 4.46000 	  2.51244 	  0.03201 	 
 4.47000 	  2.51331 	  0.14175 	 
 4.48000 	  2.51530 	  0.25705 	 
 4.49000 	  2.51846 	  0.37507 	 
 4.50000 	  2.52280 	  0.49182 	 
 4.51000 	  2.52828 	  0.60388 	 
 4.52000 	  2.53485 	  0.70976 	 
 4.53000 	  2.54246 	  0.81046 	 
 4.54000 	  2.55105 	  0.90885 	 
 4.55000 	  2.56064 	  1.00811 	 
 4.56000 	  2.57123 	  1.11004 	 
 4.57000 	  2.58284 	  1.21391 	 
 4.58000 	  2.59550 	  1.31645 	 
 4.59000 	  2.60915 	  1.41303 	 
 4.60000 	  2.62373 	  1.49950 	 
 4.61000 	  2.63910 	  1.57399 	 
 4.62000 	  2.65517 	  1.63768 	 
 4.63000 	  2.67183 	  1.69421 	 
 4.64000 	  2.68904 	  1.74777 	 
 4.65000 	  2.70679 	  1.80069 	 
 4.66000 	  2.72505 	  1.85142 	 
 4.67000 	  2.74379 	  1.89385 	 
 4.68000 	  2.76287 	  1.91847 	 
 4.69000 	  2.78206 	  1.91500 	 
 4.70000 	  2.80105 	  1.87578 	 
 4.71000 	  2.81945 	  1.79862 	 
 4.72000 	  2.83691 	  1.68817 	 
 4.73000 	  2.85314 	  1.55518 	 
 4.74000 	  2.86799 	  1.41399 	 
 4.75000 	  2.88144 	  1.27894 	 
 4.76000 	  2.89362 	  1.16097 	 
 4.77000 	  2.90473 	  1.06545 	 
 4.78000 	  2.91500 	  0.99181 	 
 4.79000 	  2.92463 	  0.93497 	 
 4.80000 	  2.93374 	  0.88784 	 
 4.81000 	  2.94239 	  0.84393 	 
 4.82000 	  2.95061 	  0.79919 	 
 4.83000 	  2.95837 	  0.75264 	 
 4.84000 	  2.96566 	  0.70564 	 
 4.85000 	  2.97249 	  0.66055 	 
 4.86000 	  2.97889 	  0.61922 	 
 4.87000 	  2.98489 	  0.58214 	 
 4.88000 	  2.99054 	  0.54831 	 
 4.89000 	  2.99586 	  0.51597 	 
 4.90000 	  3.00086 	  0.48343 	 
 4.91000 	  3.00553 	  0.44987 	 
 4.92000 	  3.00985 	  0.41555 	 
 4.93000 	  3.01384 	  0.38140 	 
 4.94000 	  3.01749 	  0.34840 	 
 4.95000 	  3.02081 	  0.31690 	 
 4.96000 	  3.02383 	  0.28645 	 
 4.97000 	  3.02654 	  0.25601 	 
 4.98000 	  3.02894 	  0.22455 	 
 4.99000 	  3.03103 	  0.19162 	 
 5.00000 	  3.03277 	  0.15760 	 
 5.01000 	  3.03418 	  0.12348 	 
 5.02000 	  3.03524 	  0.09017 	 
 5.03000 	  3.03598 	  0.05790 	 
 5.04000 	  3.03640 	  0.02582 	 
 5.05000 	  3.03650 	 -0.00776 	 
 5.06000 	  3.03624 	 -0.04463 	 
 5.07000 	  3.03559 	 -0.08573 	 
 5.08000 	  3.03451 	 -0.13057 	 
 5.09000 	  3.03297 	 -0.17726 	 
 5.10000 	  3.03097 	 -0.22346 	 
 5.11000 	  3.02851 	 -0.26784 	 
 5.12000 	  3.02561 	 -0.31147 	 
 5.13000 	  3.02227 	 -0.35845 	 
 5.14000 	  3.01841 	 -0.41533 	 
 5.15000 	  3.01390 	 -0.48918 	 
 5.16000 	  3.00855 	 -0.58500 	 
 5.17000 	  3.00213 	 -0.70324 	 
 5.18000 	  2.99443 	 -0.83839 	 
 5.19000 	  2.98534 	 -0.97941 	 
 5.20000 	  2.97487 	 -1.11192 	 
 5.21000 	  2.96318 	 -1.22162 	 
 5.22000 	  2.95055 	 -1.29788 	 
 5.23000 	  2.93735 	 -1.33619 	 
 5.24000 	  2.92395 	 -1.33890 	 
 5.25000 	  2.91066 	 -1.31376 	 
 5.26000 	  2.89773 	 -1.27106 	 
 5.27000 	  2.88527 	 -1.22026 	 
 5.28000 	  2.87333 	 -1.16738 	 
 5.29000 	  2.86192 	 -1.11386 	 
 5.30000 	  2.85106 	 -1.05730 	 
 5.31000 	  2.84080 	 -0.99348 	 
 5.32000 	  2.83123 	 -0.91880 	 
 5.33000 	  2.82247 	 -0.83215 	 
 5.34000 	  2.81462 	 -0.73546 	 
 5.35000 	  2.80778 	 -0.63290 	 
 5.36000 	  2.80197 	 -0.52909 	 
 5.37000 	  2.79719 	 -0.42724 	 
 5.38000 	  2.79341 	 -0.32802 	 
 5.39000 	  2.79063 	 -0.22958 	 
 5.40000 	  2.78883 	 -0.12870 	 
 5.41000 	  2.78807 	 -0.02257 	 
 5.42000 	  2.78840 	  0.08978 	 
 5.43000 	  2.78988 	  0.20681 	 
 5.44000 	  2.79254 	  0.32506 	 
 5.45000 	  2.79637 	  0.44055 	 
 5.46000 	  2.80133 	  0.55048 	 
 5.47000 	  2.80736 	  0.65434 	 
 5.48000 	  2.81441 	  0.75399 	 
 5.49000 	  2.82244 	  0.85262 	 
 5.50000 	  2.83146 	  0.95307 	 
 5.51000 	  2.84151 	  1.05623 	 
 5.52000 	  2.85259 	  1.16033 	 
 5.53000 	  2.86470 	  1.26136 	 
 5.54000 	  2.87779 	  1.35465 	 
 5.55000 	  2.89176 	  1.43677 	 
 5.56000 	  2.90649 	  1.50700 	 
 5.57000 	  2.92187 	  1.56763 	 
 5.58000 	  2.93782 	  1.62279 	 
 5.59000 	  2.95432 	  1.67625 	 
 5.60000 	  2.97135 	  1.72900 	 
 5.61000 	  2.98889 	  1.77771 	 
 5.62000 	  3.00686 	  1.81470 	 
 5.63000 	  3.02511 	  1.82980 	 
 5.64000 	  3.04335 	  1.81334 	 
 5.65000 	  3.06125 	  1.75951 	 
 5.66000 	  3.07842 	  1.66873 	 
 5.67000 	  3.09452 	  1.54821 	 
 5.68000 	  3.10932 	  1.41049 	 
 5.69000 	  3.12273 	  1.27035 	 
 5.70000 	  3.13477 	  1.14116 	 
 5.71000 	  3.14562 	  1.03185 	 
 5.72000 	  3.15548 	  0.94544 	 
 5.73000 	  3.16459 	  0.87934 	 
 5.74000 	  3.17312 	  0.82738 	 
 5.75000 	  3.18116 	  0.78241 	 
 5.76000 	  3.18877 	  0.73873 	 
 5.77000 	  3.19593 	  0.69349 	 
 5.78000 	  3.20263 	  0.64676 	 
 5.79000 	  3.20887 	  0.60046 	 
 5.80000 	  3.21465 	  0.55691 	 
 5.81000 	  3.22002 	  0.51751 	 
 5.82000 	  3.22502 	  0.48211 	 
 5.83000 	  3.22967 	  0.44933 	 
 5.84000 	  3.23401 	  0.41731 	 
 5.85000 	  3.23802 	  0.38466 	 
 5.86000 	  3.24169 	  0.35096 	 
 5.87000 	  3.24503 	  0.31682 	 
 5.88000 	  3.24803 	  0.28326 	 
 5.89000 	  3.25070 	  0.25109 	 
 5.90000 	  3.25306 	  0.22033 	 
 5.91000 	  3.25511 	  0.19027 	 
 5.92000 	  3.25686 	  0.15977 	 
 5.93000 	  3.25830 	  0.12799 	 
 5.94000 	  3.25942 	  0.09479 	 
 5.95000 	  3.26020 	  0.06084 	 
 5.96000 	  3.26064 	  0.02719 	 
 5.97000 	  3.26074 	 -0.00545 	 
 5.98000 	  3.26053 	 -0.03725 	 
